Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
C2D_AE_128_3X3_VAE,/localscratch/a24ravi.60331765.0/C2D_23_01_2021_14_13/C2D_AE_128_3X3_VAE|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_VAE|_ADAM_MSE_AVENUE_NORMAL.pkl,Variational,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6993,0.7529,0.8164,0.6036,0.8337,0.8327,0.8331,0.8238,0.9169,0.9585,0.9586,0.8044,0.3441,0.3134,0.2573,0.4475,0.1709,0.0931,0.0932,0.264,0.4725,0.4119,0.3898,0.5222,0.5685,0.5692,0.5692,0.5689,0.366,0.3586,0.3586,0.3949,0.8531,0.9084,0.7526,0.9083,0.8511,0.9074,0.7404,0.9073,0.8498,0.9076,0.7412,0.9075,15324,15324,15324,15324,"7827,746,1535,5216","7719,854,565,6186","5935,2638,1340,5411","7712,861,560,6191"
C2D_AE_128_3X3_VAE,/localscratch/a24ravi.60331765.0/C2D_23_01_2021_14_13/C2D_AE_128_3X3_VAE|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3_VAE|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL.pkl,Variational,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6825,0.6967,0.7662,0.6617,0.8418,0.8397,0.8399,0.8461,0.9385,0.9615,0.9616,0.9212,0.3604,0.3247,0.2784,0.3938,0.1291,0.0857,0.0855,0.1616,0.4594,0.4564,0.4141,0.4701,0.5684,0.5689,0.5689,0.5678,0.3624,0.3584,0.3584,0.3654,0.898,0.9161,0.8657,0.9161,0.8957,0.9161,0.8615,0.9161,0.8948,0.9161,0.8598,0.9161,15324,15324,15324,15324,"8130,443,1156,5595","7932,641,645,6106","8007,566,1556,5195","7922,651,635,6116"
CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60796010.0/CLSTM_30_01_2021_15_13/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6942,0.6501,0.7638,0.6709,0.8332,0.8419,0.8382,0.8392,0.9409,0.9587,0.957,0.8931,0.3394,0.3718,0.2697,0.3635,0.1139,0.0936,0.0981,0.1914,0.468,0.5222,0.4263,0.486,0.5687,0.5686,0.5688,0.5678,0.3619,0.3587,0.359,0.3705,0.8954,0.9034,0.8118,0.9067,0.8955,0.9024,0.808,0.9058,0.8953,0.9026,0.8086,0.906,15324,15324,15324,15324,"7839,734,868,5883","7682,891,604,6147","6796,1777,1165,5586","7719,854,589,6162"
CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60796010.0/CLSTM_30_01_2021_15_13/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6734,0.6984,0.7808,0.6312,0.8367,0.8356,0.8326,0.8383,0.9447,0.9616,0.9613,0.882,0.366,0.3245,0.2505,0.4002,0.1041,0.0899,0.0904,0.2031,0.4895,0.4676,0.4139,0.51,0.5685,0.5693,0.5694,0.5682,0.3612,0.3579,0.3579,0.3726,0.8983,0.9101,0.8139,0.9109,0.8984,0.9084,0.8142,0.9094,0.8984,0.9086,0.8135,0.9096,15324,15324,15324,15324,"7815,758,799,5952","7671,902,502,6249","7347,1226,1621,5130","7686,887,502,6249"
CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60796010.0/CLSTM_30_01_2021_15_13/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6754,0.7443,0.8159,0.6199,0.8369,0.8396,0.8399,0.8322,0.9449,0.9663,0.9666,0.8534,0.3713,0.32,0.2543,0.434,0.1119,0.0904,0.0899,0.223,0.4688,0.4142,0.39,0.4958,0.5683,0.5688,0.5688,0.5685,0.361,0.357,0.357,0.3794,0.8888,0.9139,0.7809,0.9142,0.8881,0.9113,0.7798,0.9113,0.8883,0.9115,0.7801,0.9116,15324,15324,15324,15324,"7614,959,755,5996","7632,941,419,6332","6765,1808,1567,5184","7620,953,406,6345"
C2D_AE_128_3X3,/localscratch/a24ravi.61122310.0/C2D_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_WEIGHTED_HAM10000_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_HAM10000_NORMAL.pkl,Normal,HAM10000,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.6409,0.6779,0.6736,0.6185,0.6414,0.6786,0.6786,0.6245,0.6414,0.6786,0.6786,0.6245,0.4033,0.3633,0.3783,0.4067,0.4133,0.36,0.3627,0.3983,0.4031,0.3846,0.3866,0.4206,0.4045,0.3878,0.3879,0.4193,0.4016,0.3841,0.3841,0.4157,0.6661,0.6643,0.6102,0.6643,0.6417,0.6625,0.61,0.6625,0.628,0.6616,0.6098,0.6616,1200,1200,1200,1200,"500,100,330,270","429,171,234,366","378,222,246,354","429,171,234,366"
C2D_AE_128_3X3,/localscratch/a24ravi.61122310.0/C2D_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_PSNR_HAM10000_NORMAL/C2D_AE_128_3X3|_ADAM_PSNR_HAM10000_NORMAL.pkl,Normal,HAM10000,NORMAL,128,PSNR,ADAM,False,False,0.6778,0.6814,0.6766,0.638,0.6792,0.6816,0.6816,0.6378,0.6792,0.6816,0.6817,0.6378,0.3494,0.3567,0.3561,0.38,0.36,0.35,0.3437,0.3773,0.3836,0.3809,0.382,0.4102,0.3871,0.3854,0.3854,0.4145,0.3837,0.3816,0.3817,0.4082,0.6696,0.6626,0.6418,0.6626,0.6625,0.6625,0.6375,0.6625,0.6589,0.6624,0.6347,0.6624,1200,1200,1200,1200,"459,141,264,336","405,195,210,390","435,165,270,330","405,195,210,390"
C2D_AE_128_3X3,/localscratch/a24ravi.61122310.0/C2D_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.5785,0.5856,0.5785,0.6373,0.5835,0.5904,0.5904,0.6377,0.5835,0.5904,0.5904,0.6377,0.42,0.42,0.44,0.385,0.41,0.405,0.405,0.3827,0.4809,0.473,0.4667,0.4095,0.485,0.4845,0.4845,0.4157,0.4871,0.4875,0.4875,0.4112,0.6272,0.6043,0.6384,0.6043,0.6233,0.6042,0.6367,0.6042,0.6205,0.6041,0.6355,0.6041,1200,1200,1200,1200,"322,278,174,426","353,247,228,372","416,184,252,348","353,247,228,372"
C2D_AE_128_3X3,/localscratch/a24ravi.61122310.0/C2D_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL_DeNoising/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL_DeNoising.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,True,False,0.634,0.6607,0.6554,0.6352,0.6356,0.6615,0.6615,0.6372,0.6356,0.6614,0.6615,0.6373,0.3756,0.3637,0.3717,0.38,0.37,0.36,0.36,0.3785,0.4409,0.4137,0.4135,0.4128,0.446,0.4223,0.4223,0.4147,0.4473,0.4212,0.4212,0.409,0.6412,0.6509,0.6485,0.6509,0.6383,0.6508,0.6433,0.6508,0.6365,0.6508,0.6402,0.6508,1200,1200,1200,1200,"340,260,174,426","397,203,216,384","442,158,270,330","397,203,216,384"
C2D_AE_128_3X3_DP,/localscratch/a24ravi.61122310.0/C2D_04_02_2021_06_44/C2D_AE_128_3X3_DP|_ADAM_MSE_HAM10000_NORMAL/C2D_AE_128_3X3_DP|_ADAM_MSE_HAM10000_NORMAL.pkl,Dropouts,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.437,0.4632,0.4617,0.6319,0.4345,0.4614,0.4614,0.6287,0.4345,0.4614,0.4614,0.6287,0.5367,0.5283,0.535,0.4,0.54,0.5417,0.5417,0.41,0.5887,0.5675,0.567,0.4116,0.5966,0.576,0.576,0.4234,0.6007,0.5819,0.5819,0.4213,0.5442,0.6133,0.6347,0.6133,0.52,0.5292,0.6283,0.5292,0.4439,0.4219,0.6239,0.4219,1200,1200,1200,1200,"90,510,66,534","59,541,24,576","442,158,288,312","59,541,24,576"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.61122310.0/C2D_04_02_2021_06_44/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_HAM10000_NORMAL/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_HAM10000_NORMAL.pkl,SqueezeExcitation,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.6278,0.6552,0.6512,0.6327,0.6285,0.6557,0.6557,0.6341,0.6285,0.6557,0.6557,0.6341,0.3717,0.37,0.3717,0.3833,0.38,0.3757,0.375,0.3811,0.4415,0.419,0.4182,0.4141,0.4458,0.4274,0.4274,0.4157,0.4458,0.4267,0.4267,0.4103,0.6337,0.6431,0.6381,0.6431,0.6333,0.6425,0.6342,0.6425,0.6331,0.6421,0.6316,0.6421,1200,1200,1200,1200,"364,236,204,396","405,195,234,366","431,169,270,330","405,195,234,366"
C2D_AE_128_3X3,/localscratch/a24ravi.61122373.0/C2D2_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_WEIGHTED_IR_DISTRACTION_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_IR_DISTRACTION_NORMAL.pkl,Normal,IR_DISTRACTION,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.7602,0.8448,0.8364,0.7232,0.7646,0.8447,0.8447,0.7394,0.7646,0.8447,0.8447,0.7394,0.3267,0.215,0.2433,0.3767,0.32,0.24,0.24,0.3833,0.3612,0.3338,0.335,0.3695,0.3707,0.3474,0.3474,0.3691,0.3635,0.337,0.337,0.3649,0.8378,0.8678,0.7751,0.8678,0.76,0.85,0.7017,0.85,0.7453,0.8482,0.6803,0.8482,600,600,600,600,"156,144,0,300","222,78,12,288","133,167,12,288","222,78,12,288"
C2D_AE_128_3X3,/localscratch/a24ravi.61122373.0/C2D2_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_PSNR_IR_DISTRACTION_NORMAL/C2D_AE_128_3X3|_ADAM_PSNR_IR_DISTRACTION_NORMAL.pkl,Normal,IR_DISTRACTION,NORMAL,128,PSNR,ADAM,False,False,0.8058,0.851,0.8432,0.7364,0.8126,0.852,0.852,0.7419,0.8126,0.852,0.852,0.7419,0.2756,0.2233,0.2367,0.3433,0.2714,0.2314,0.2284,0.33,0.3436,0.33,0.3313,0.3667,0.3498,0.3404,0.3404,0.3706,0.3425,0.3318,0.3318,0.3657,0.8115,0.8218,0.7145,0.8218,0.7633,0.8167,0.7,0.8167,0.7538,0.8159,0.6948,0.8159,600,600,600,600,"170,130,12,288","226,74,36,264","171,129,51,249","226,74,36,264"
C2D_AE_128_3X3,/localscratch/a24ravi.61122373.0/C2D2_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_MSE_IR_DISTRACTION_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_IR_DISTRACTION_NORMAL.pkl,Normal,IR_DISTRACTION,NORMAL,128,MSE,ADAM,False,False,0.7997,0.8521,0.8499,0.7458,0.8036,0.8457,0.8457,0.7473,0.8036,0.8457,0.8457,0.7473,0.2933,0.2267,0.2267,0.3176,0.2767,0.2388,0.242,0.3367,0.3473,0.3314,0.3308,0.364,0.3557,0.3444,0.3444,0.3696,0.3469,0.335,0.335,0.3639,0.8177,0.8678,0.7444,0.8678,0.7817,0.85,0.7233,0.85,0.7753,0.8482,0.7173,0.8482,600,600,600,600,"184,116,15,285","222,78,12,288","173,127,39,261","222,78,12,288"
C2D_AE_128_3X3,/localscratch/a24ravi.61122373.0/C2D2_04_02_2021_06_44/C2D_AE_128_3X3|_ADAM_MSE_IR_DISTRACTION_NORMAL_DeNoising/C2D_AE_128_3X3|_ADAM_MSE_IR_DISTRACTION_NORMAL_DeNoising.pkl,Normal,IR_DISTRACTION,NORMAL,128,MSE,ADAM,True,False,0.7626,0.8232,0.8235,0.6952,0.7658,0.8217,0.8217,0.6962,0.7658,0.8217,0.8217,0.6962,0.3333,0.2479,0.2556,0.41,0.3233,0.2533,0.2557,0.43,0.3571,0.3394,0.3382,0.3816,0.3624,0.3511,0.3511,0.3866,0.3564,0.3413,0.3413,0.3815,0.7627,0.8444,0.7024,0.8444,0.7133,0.7883,0.67,0.7883,0.6992,0.7794,0.6562,0.7794,600,600,600,600,"149,151,21,279","176,124,3,297","141,159,39,261","176,124,3,297"
C2D_AE_128_3X3_DP,/localscratch/a24ravi.61122373.0/C2D2_04_02_2021_06_44/C2D_AE_128_3X3_DP|_ADAM_MSE_IR_DISTRACTION_NORMAL/C2D_AE_128_3X3_DP|_ADAM_MSE_IR_DISTRACTION_NORMAL.pkl,Dropouts,IR_DISTRACTION,NORMAL,128,MSE,ADAM,False,False,0.7854,0.831,0.8308,0.6998,0.781,0.8422,0.8422,0.6995,0.781,0.8422,0.8422,0.6995,0.2683,0.232,0.2233,0.3867,0.2767,0.25,0.2515,0.375,0.3465,0.3355,0.3355,0.3778,0.3584,0.3373,0.3373,0.3843,0.3496,0.3323,0.3323,0.3778,0.7641,0.8017,0.7225,0.8017,0.7517,0.7833,0.7033,0.7833,0.7487,0.78,0.6968,0.78,600,600,600,600,"193,107,42,258","272,28,102,198","167,133,45,255","272,28,102,198"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.61122373.0/C2D2_04_02_2021_06_44/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_IR_DISTRACTION_NORMAL/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_IR_DISTRACTION_NORMAL.pkl,SqueezeExcitation,IR_DISTRACTION,NORMAL,128,MSE,ADAM,False,False,0.7845,0.8451,0.8466,0.701,0.7852,0.832,0.832,0.7046,0.7852,0.832,0.832,0.7046,0.2867,0.2233,0.2233,0.3889,0.29,0.2367,0.2367,0.3933,0.3509,0.3337,0.3326,0.3784,0.3606,0.3498,0.3498,0.3831,0.3513,0.3389,0.3389,0.3772,0.7749,0.8241,0.7105,0.8241,0.745,0.8033,0.6483,0.8033,0.7379,0.8001,0.6203,0.8001,600,600,600,600,"174,126,27,273","203,97,21,279","113,187,24,276","203,97,21,279"
C2D_AE_128_3X3,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3|_ADAM_WEIGHTED_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.6573,0.6387,0.63,0.7038,0.6912,0.6971,0.6972,0.7437,0.4797,0.4809,0.4806,0.5059,0.3947,0.3951,0.4026,0.3428,0.506,0.5302,0.5303,0.4865,0.3262,0.332,0.3346,0.3082,0.3948,0.4064,0.4062,0.3641,0.4159,0.4117,0.412,0.3961,0.5675,0.6269,0.5929,0.6262,0.4672,0.4624,0.4758,0.4626,0.3905,0.3528,0.3982,0.3534,40791,40791,40791,40791,"15542,1784,19951,3514","16647,679,21249,2216","15810,1516,19868,3597","16637,689,21233,2232"
C2D_AE_128_3X3,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3|_ADAM_PSNR_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_ADAM_PSNR_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,PSNR,ADAM,False,False,0.6949,0.6826,0.6731,0.7002,0.746,0.7435,0.7436,0.7478,0.4955,0.5,0.4996,0.5038,0.3467,0.3586,0.3673,0.3514,0.4874,0.484,0.4842,0.487,0.312,0.3173,0.3202,0.3094,0.3664,0.3689,0.3688,0.3629,0.4074,0.4016,0.4019,0.4036,0.5706,0.6493,0.544,0.6487,0.4623,0.4619,0.5226,0.4621,0.3753,0.3459,0.5236,0.3466,40791,40791,40791,40791,"15833,1493,20440,3025","16838,488,21462,2003","10349,6977,12495,10970","16830,496,21444,2021"
C2D_AE_128_3X3,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3|_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.7013,0.6903,0.6803,0.6979,0.7589,0.7522,0.7521,0.741,0.4937,0.4963,0.4959,0.5104,0.3421,0.3578,0.366,0.3584,0.4868,0.4817,0.482,0.4866,0.3093,0.3146,0.3175,0.3095,0.3616,0.3666,0.3666,0.3632,0.4079,0.4035,0.4038,0.3994,0.6339,0.6739,0.5473,0.6739,0.4559,0.4591,0.5257,0.4594,0.3352,0.335,0.5266,0.3356,40791,40791,40791,40791,"16824,502,21691,1774","17018,308,21754,1711","10423,6903,12444,11021","17015,311,21739,1726"
C2D_AE_128_3X3,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3|_ADAM_MSE_SHANGAI_TECH_NORMAL_DeNoising/C2D_AE_128_3X3|_ADAM_MSE_SHANGAI_TECH_NORMAL_DeNoising.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,True,False,0.7016,0.6966,0.6885,0.6955,0.7573,0.7511,0.7511,0.7351,0.4917,0.4958,0.4955,0.5035,0.3447,0.3482,0.3559,0.3499,0.4871,0.4859,0.4856,0.4869,0.3092,0.3125,0.3148,0.3104,0.3626,0.3669,0.3668,0.3651,0.4098,0.4034,0.4036,0.4033,0.6364,0.6615,0.5434,0.661,0.4543,0.465,0.5199,0.4651,0.3306,0.3503,0.5201,0.3507,40791,40791,40791,40791,"16869,457,21804,1661","16881,445,21380,2085","10543,6783,12801,10664","16876,450,21369,2096"
C2D_AE_128_3X3,/localscratch/a24ravi.60724515.0/C2D_29_01_2021_14_39/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_WEIGHTED_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_WEIGHTED_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,True,0.6966,0.6892,0.6776,0.7048,0.7351,0.7486,0.7486,0.7445,0.4874,0.4942,0.4939,0.5125,0.3515,0.3596,0.3693,0.3408,0.4935,0.4996,0.4996,0.4863,0.31,0.3141,0.318,0.3074,0.373,0.3717,0.3717,0.3655,0.4115,0.4042,0.4044,0.3931,0.6065,0.6512,0.5994,0.6515,0.4648,0.4641,0.4758,0.4642,0.3653,0.3506,0.3951,0.3508,40791,40791,40791,40791,"16366,960,20871,2594","16820,506,21354,2111","15940,1386,19997,3468","16821,505,21350,2115"
C2D_AE_128_3X3,/localscratch/a24ravi.60724515.0/C2D_29_01_2021_14_39/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_PSNR_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_PSNR_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,PSNR,ADAM,False,True,0.7019,0.7016,0.6942,0.7023,0.7579,0.7584,0.7584,0.7511,0.4901,0.4946,0.4943,0.5032,0.3419,0.3448,0.3465,0.3455,0.4916,0.4924,0.4923,0.4884,0.3088,0.31,0.3123,0.308,0.3662,0.3695,0.3695,0.3602,0.4116,0.4057,0.406,0.4062,0.6311,0.6667,0.5417,0.6653,0.4535,0.4593,0.5189,0.4596,0.3299,0.3365,0.5194,0.3374,40791,40791,40791,40791,"16847,479,21812,1653","16979,347,21710,1755","10437,6889,12734,10731","16968,358,21687,1778"
C2D_AE_128_3X3,/localscratch/a24ravi.60724515.0/C2D_29_01_2021_14_39/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,True,0.6968,0.6905,0.683,0.6973,0.7538,0.7516,0.7517,0.7438,0.4955,0.5005,0.5002,0.5102,0.3521,0.3573,0.3634,0.3486,0.4892,0.4854,0.4855,0.4852,0.3106,0.3141,0.3162,0.3098,0.3647,0.3687,0.3686,0.362,0.4079,0.4014,0.4017,0.3995,0.6364,0.6467,0.5457,0.6459,0.4581,0.4619,0.5243,0.4622,0.34,0.3466,0.5253,0.3474,40791,40791,40791,40791,"16804,522,21581,1884","16819,507,21441,2024","10378,6948,12457,11008","16809,517,21420,2045"
C2D_AE_128_3X3,/localscratch/a24ravi.60724515.0/C2D_29_01_2021_14_39/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL_DeNoising/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL_DeNoising.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,True,True,0.7007,0.6983,0.6904,0.7007,0.7512,0.751,0.751,0.7432,0.4922,0.497,0.4966,0.5029,0.3504,0.3499,0.3544,0.3465,0.4868,0.4828,0.4833,0.4872,0.3098,0.3119,0.3141,0.3089,0.366,0.3682,0.3682,0.3618,0.4098,0.4047,0.405,0.4038,0.6266,0.6638,0.5463,0.6644,0.4544,0.4594,0.5244,0.4598,0.3332,0.3374,0.5253,0.338,40791,40791,40791,40791,"16799,527,21728,1737","16961,365,21685,1780","10431,6895,12505,10960","16961,365,21672,1793"
C2D_AE_128_3X3,/localscratch/a24ravi.60787601.0/C2D_30_01_2021_10_55/C2D_AE_128_3X3|_ADAM_MSE_SHANGAI_TECH_NORMAL_SVDD/C2D_AE_128_3X3|_ADAM_MSE_SHANGAI_TECH_NORMAL_SVDD.pkl,Normal,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.7003,0.689,0.6795,0.7005,0.7539,0.7534,0.7534,0.7488,0.4933,0.4946,0.4942,0.5079,0.344,0.3573,0.3633,0.3518,0.489,0.4854,0.4855,0.4858,0.3094,0.3145,0.3173,0.3084,0.3606,0.3644,0.3643,0.3583,0.4081,0.4046,0.4048,0.4011,0.6564,0.6747,0.5453,0.6746,0.4564,0.4602,0.5235,0.4605,0.3319,0.3373,0.5244,0.3379,40791,40791,40791,40791,"16956,370,21802,1663","17011,315,21702,1763","10404,6922,12514,10951","17008,318,21688,1777"
C2D_AE_128_3X3_ACB,/localscratch/a24ravi.60787555.0/C2D_30_01_2021_10_55/C2D_AE_128_3X3_ACB|_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_ACB|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,ACB,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.7014,0.7082,0.6985,0.6998,0.747,0.7525,0.7527,0.7454,0.501,0.5118,0.5114,0.4944,0.3477,0.3431,0.3521,0.3474,0.4846,0.4811,0.4814,0.4848,0.3101,0.3079,0.3109,0.3093,0.3681,0.3722,0.3721,0.3613,0.4062,0.3981,0.3984,0.4085,0.6343,0.6555,0.5388,0.6511,0.4546,0.4618,0.5166,0.4624,0.332,0.3445,0.5173,0.3466,40791,40791,40791,40791,"16849,477,21769,1696","16881,445,21507,1958","10337,6989,12728,10737","16844,482,21448,2017"
C2D_AE_128_3X3_ACB,/localscratch/a24ravi.60787555.0/C2D_30_01_2021_10_55/C2D_AE_128_3X3_ACB|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_ACB|_CONV_ATTENTION_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,ACB,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,True,0.6933,0.6963,0.686,0.6993,0.7497,0.7493,0.7494,0.7437,0.4997,0.5098,0.5094,0.4957,0.3504,0.3531,0.3594,0.3511,0.484,0.4785,0.4784,0.4852,0.3126,0.3121,0.3153,0.3093,0.3665,0.3723,0.3722,0.3647,0.4074,0.3991,0.3994,0.4078,0.6377,0.6826,0.538,0.6817,0.4526,0.4575,0.5178,0.4577,0.3261,0.3298,0.5191,0.3306,40791,40791,40791,40791,"16905,421,21910,1555","17074,252,21879,1586","10124,7202,12467,10998","17068,258,21862,1603"
C2D_AE_128_3X3_DP,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3_DP|_ADAM_MSE_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3_DP|_ADAM_MSE_SHANGAI_TECH_NORMAL.pkl,Dropouts,SHANGAI_TECH,NORMAL,128,MSE,ADAM,False,False,0.668,0.6871,0.6839,0.7021,0.7039,0.7311,0.7312,0.7459,0.5324,0.4793,0.4792,0.51,0.3858,0.3632,0.3685,0.3529,0.477,0.5299,0.5302,0.4905,0.322,0.3147,0.3157,0.3078,0.3865,0.3716,0.3715,0.3591,0.395,0.4165,0.4167,0.4004,0.5513,0.5508,0.552,0.551,0.5175,0.4865,0.4787,0.4867,0.5128,0.4521,0.4324,0.4525,40791,40791,40791,40791,"11550,5776,13905,9560","13788,3538,17409,6056","14349,2977,18287,5178","13784,3542,17397,6068"
